"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,9 Sep 2025 09:22:55.472,9 Sep 2025 09:25:29.743,154.271
2,10 Sep 2025 09:29:49.413,10 Sep 2025 09:32:41.892,172.478
3,11 Sep 2025 09:36:48.607,11 Sep 2025 09:39:46.985,178.378
4,11 Sep 2025 20:25:24.084,11 Sep 2025 20:27:02.040,97.957
5,12 Sep 2025 09:43:52.300,12 Sep 2025 09:46:45.771,173.471
6,12 Sep 2025 20:32:01.544,12 Sep 2025 20:34:24.570,143.026
7,13 Sep 2025 09:51:00.863,13 Sep 2025 09:53:37.878,157.015
8,13 Sep 2025 20:38:49.749,13 Sep 2025 20:41:36.159,166.410
9,14 Sep 2025 09:58:16.393,14 Sep 2025 10:00:21.202,124.809
10,14 Sep 2025 20:45:44.345,14 Sep 2025 20:48:41.123,176.778
11,15 Sep 2025 10:05:50.188,15 Sep 2025 10:06:44.441,54.252

Statistics
"Min Duration",11,15 Sep 2025 10:05:50.188,15 Sep 2025 10:06:44.441,54.252
"Max Duration",3,11 Sep 2025 09:36:48.607,11 Sep 2025 09:39:46.985,178.378
"Mean Duration",,,,145.350
"Total Duration",,,,1598.845


