"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,14 Oct 2025 12:27:53.664,14 Oct 2025 12:29:13.249,79.585
2,14 Oct 2025 12:29:41.792,14 Oct 2025 12:31:36.896,115.104
3,14 Oct 2025 13:11:51.788,14 Oct 2025 13:14:46.370,174.582
4,14 Oct 2025 13:12:03.826,14 Oct 2025 13:14:46.593,162.767
5,14 Oct 2025 13:12:04.989,14 Oct 2025 13:14:31.958,146.969
6,14 Oct 2025 13:13:22.056,14 Oct 2025 13:16:15.553,173.497
7,14 Oct 2025 13:13:44.956,14 Oct 2025 13:16:42.653,177.698
8,14 Oct 2025 13:13:50.821,14 Oct 2025 13:16:34.769,163.948
9,14 Oct 2025 13:23:42.401,14 Oct 2025 13:26:07.791,145.391
10,14 Oct 2025 13:31:02.548,14 Oct 2025 13:33:53.039,170.491
11,14 Oct 2025 13:55:01.067,14 Oct 2025 13:57:58.150,177.084
12,14 Oct 2025 14:02:05.349,14 Oct 2025 14:05:11.895,186.546
13,14 Oct 2025 14:09:44.774,14 Oct 2025 14:11:47.676,122.902
14,14 Oct 2025 14:34:21.142,14 Oct 2025 14:37:19.071,177.928
15,14 Oct 2025 14:42:11.049,14 Oct 2025 14:45:04.412,173.363
16,14 Oct 2025 14:46:44.852,14 Oct 2025 14:48:58.855,134.003
17,14 Oct 2025 14:47:10.520,14 Oct 2025 14:50:02.636,172.117
18,14 Oct 2025 14:47:47.828,14 Oct 2025 14:50:27.720,159.892
19,14 Oct 2025 14:48:07.378,14 Oct 2025 14:50:32.057,144.679
20,14 Oct 2025 14:48:48.574,14 Oct 2025 14:51:32.063,163.489
21,14 Oct 2025 14:49:20.179,14 Oct 2025 14:52:20.157,179.978
22,14 Oct 2025 14:49:27.757,14 Oct 2025 14:52:27.583,179.826
23,14 Oct 2025 15:16:30.608,14 Oct 2025 15:19:02.143,151.535
24,14 Oct 2025 15:37:38.502,14 Oct 2025 15:40:34.666,176.164
25,14 Oct 2025 16:21:45.539,14 Oct 2025 16:24:45.340,179.801
26,14 Oct 2025 16:22:42.204,14 Oct 2025 16:25:37.549,175.345
27,14 Oct 2025 16:24:04.994,14 Oct 2025 16:26:58.982,173.988
28,14 Oct 2025 16:24:16.099,14 Oct 2025 16:25:57.788,101.689
29,14 Oct 2025 16:24:42.572,14 Oct 2025 16:26:03.019,80.446
30,14 Oct 2025 16:24:50.795,14 Oct 2025 16:27:49.671,178.876
31,14 Oct 2025 16:25:04.494,14 Oct 2025 16:28:05.489,180.995
32,14 Oct 2025 16:59:44.670,14 Oct 2025 17:02:45.694,181.024
33,14 Oct 2025 17:13:01.097,14 Oct 2025 17:15:54.405,173.309
34,14 Oct 2025 17:18:01.678,14 Oct 2025 17:20:06.209,124.531
35,14 Oct 2025 17:47:42.188,14 Oct 2025 17:50:21.527,159.339
36,14 Oct 2025 17:59:34.917,14 Oct 2025 18:02:33.756,178.839
37,14 Oct 2025 18:00:02.516,14 Oct 2025 18:00:11.712,9.195
38,14 Oct 2025 18:00:22.850,14 Oct 2025 18:03:23.592,180.743
39,14 Oct 2025 18:00:43.263,14 Oct 2025 18:03:42.430,179.167
40,14 Oct 2025 18:08:23.516,14 Oct 2025 18:11:05.386,161.871
41,14 Oct 2025 18:23:26.458,14 Oct 2025 18:25:59.226,152.768
42,14 Oct 2025 18:31:47.277,14 Oct 2025 18:34:45.761,178.484
43,14 Oct 2025 18:35:56.616,14 Oct 2025 18:38:10.870,134.254
44,14 Oct 2025 18:44:08.909,14 Oct 2025 18:46:54.106,165.198
45,14 Oct 2025 18:48:20.245,14 Oct 2025 18:51:25.228,184.983
46,14 Oct 2025 18:53:16.282,14 Oct 2025 18:56:15.445,179.163
47,14 Oct 2025 19:29:56.706,14 Oct 2025 19:32:05.965,129.259
48,14 Oct 2025 19:36:00.738,14 Oct 2025 19:37:51.742,111.004
49,14 Oct 2025 19:36:18.593,14 Oct 2025 19:38:57.211,158.618
50,14 Oct 2025 19:36:39.707,14 Oct 2025 19:39:18.793,159.086
51,14 Oct 2025 19:55:46.206,14 Oct 2025 19:57:59.743,133.536
52,14 Oct 2025 20:09:40.768,14 Oct 2025 20:12:24.893,164.124
53,14 Oct 2025 20:21:22.187,14 Oct 2025 20:23:38.263,136.075
54,14 Oct 2025 20:24:04.555,14 Oct 2025 20:26:58.527,173.973
