Target,Backend_Start,STK_Start,Start_Diff_Sec,Backend_End,STK_End,End_Diff_Sec,Backend_Duration,STK_Duration,Duration_Diff_Sec,Backend_Max_Elev,Match_Status
T43,2025-10-14 12:27:53.664,2025-10-14 12:27:53.664,0.00,2025-10-14 12:29:03.664,2025-10-14 12:29:13.249,9.59,70.0,79.6,9.58,60.82,MATCHED
T50,2025-10-14 12:29:50.547,2025-10-14 12:29:41.792,8.76,2025-10-14 12:31:30.547,2025-10-14 12:31:36.896,6.35,100.0,115.1,15.10,51.53,MATCHED
T33,2025-10-14 13:11:51.688,2025-10-14 13:11:51.788,0.10,2025-10-14 13:14:41.688,2025-10-14 13:14:46.370,4.68,170.0,174.6,4.58,74.02,MATCHED
T11,2025-10-14 13:12:04.598,2025-10-14 13:12:04.989,0.39,2025-10-14 13:14:24.598,2025-10-14 13:14:31.958,7.36,140.0,147.0,6.97,59.13,MATCHED
T1,2025-10-14 13:12:13.376,2025-10-14 13:12:03.826,9.55,2025-10-14 13:14:43.376,2025-10-14 13:14:46.593,3.22,150.0,162.8,12.77,65.17,MATCHED
T30,2025-10-14 13:13:21.733,2025-10-14 13:13:22.056,0.32,2025-10-14 13:16:11.733,2025-10-14 13:16:15.553,3.82,170.0,173.5,3.50,73.75,MATCHED
T48,2025-10-14 13:13:48.039,2025-10-14 13:13:50.821,2.78,2025-10-14 13:16:38.039,2025-10-14 13:16:34.769,3.27,170.0,163.9,6.05,78.03,MATCHED
T5,2025-10-14 13:14:00.395,2025-10-14 13:13:50.821,9.57,2025-10-14 13:16:30.395,2025-10-14 13:16:34.769,4.37,150.0,163.9,13.95,65.85,MATCHED
T4,2025-10-14 13:23:41.733,2025-10-14 13:23:42.401,0.67,2025-10-14 13:26:01.733,2025-10-14 13:26:07.791,6.06,140.0,145.4,5.39,59.22,MATCHED
T49,2025-10-14 13:31:02.632,2025-10-14 13:31:02.548,0.08,2025-10-14 13:33:42.632,2025-10-14 13:33:53.039,10.41,160.0,170.5,10.49,74.55,MATCHED
T7,2025-10-14 13:55:11.155,2025-10-14 13:55:01.067,10.09,2025-10-14 13:57:51.155,2025-10-14 13:57:58.150,6.99,160.0,177.1,17.08,72.22,MATCHED
T43,2025-10-14 14:02:05.023,2025-10-14 14:02:05.349,0.33,2025-10-14 14:05:05.023,2025-10-14 14:05:11.895,6.87,180.0,186.5,6.55,87.70,MATCHED
T24,2025-10-14 14:09:43.918,2025-10-14 14:09:44.774,0.86,2025-10-14 14:11:43.918,2025-10-14 14:11:47.676,3.76,120.0,122.9,2.90,52.87,MATCHED
T16,2025-10-14 14:34:21.989,2025-10-14 14:34:21.142,0.85,2025-10-14 14:37:11.989,2025-10-14 14:37:19.071,7.08,170.0,177.9,7.93,88.73,MATCHED
T2,2025-10-14 14:42:21.112,2025-10-14 14:42:11.049,10.06,2025-10-14 14:45:01.112,2025-10-14 14:45:04.412,3.30,160.0,173.4,13.36,74.34,MATCHED
T3,2025-10-14 14:46:54.212,2025-10-14 14:46:44.852,9.36,2025-10-14 14:48:54.212,2025-10-14 14:48:58.855,4.64,120.0,134.0,14.00,55.62,MATCHED
T11,2025-10-14 14:47:20.106,2025-10-14 14:47:10.520,9.59,2025-10-14 14:50:00.106,2025-10-14 14:50:02.636,2.53,160.0,172.1,12.12,72.37,MATCHED
T33,2025-10-14 14:47:57.581,2025-10-14 14:47:47.828,9.75,2025-10-14 14:50:27.581,2025-10-14 14:50:27.720,0.14,150.0,159.9,9.89,63.73,MATCHED
T1,2025-10-14 14:48:07.288,2025-10-14 14:48:07.378,0.09,2025-10-14 14:50:27.288,2025-10-14 14:50:32.057,4.77,140.0,144.7,4.68,57.97,MATCHED
T30,2025-10-14 14:48:57.980,2025-10-14 14:48:48.574,9.41,2025-10-14 14:51:27.980,2025-10-14 14:51:32.063,4.08,150.0,163.5,13.49,66.25,MATCHED
T5,2025-10-14 14:49:27.551,2025-10-14 14:49:27.757,0.21,2025-10-14 14:52:27.551,2025-10-14 14:52:27.583,0.03,180.0,179.8,0.17,82.74,MATCHED
T48,2025-10-14 14:49:29.641,2025-10-14 14:49:27.757,1.88,2025-10-14 14:52:19.641,2025-10-14 14:52:27.583,7.94,170.0,179.8,9.83,84.15,MATCHED
T13,2025-10-14 15:16:40.990,2025-10-14 15:16:30.608,10.38,2025-10-14 15:19:00.990,2025-10-14 15:19:02.143,1.15,140.0,151.5,11.53,61.49,MATCHED
T43,2025-10-14 15:37:47.990,2025-10-14 15:37:38.502,9.49,2025-10-14 15:40:27.990,2025-10-14 15:40:34.666,6.68,160.0,176.2,16.16,71.34,MATCHED
T3,2025-10-14 16:21:45.757,2025-10-14 16:21:45.539,0.22,2025-10-14 16:24:35.757,2025-10-14 16:24:45.340,9.58,170.0,179.8,9.80,83.20,MATCHED
T11,2025-10-14 16:22:42.338,2025-10-14 16:22:42.204,0.13,2025-10-14 16:25:32.338,2025-10-14 16:25:37.549,5.21,170.0,175.3,5.34,75.03,MATCHED
